"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","TC_SF_002_validate_nonexisting_product","Master Suite","Wed Sep 03 19:40:50 IST 2025","skipped","Wed Sep 03 19:40:50 IST 2025","testCases.TS_005_Search_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_005_Search_Functionality","TC_SF_002_validate_nonexisting_product"
"","5350","TC_SF_001_validate_existing_product","Master Suite","Wed Sep 03 20:06:52 IST 2025","passed","Wed Sep 03 20:06:57 IST 2025","testCases.TS_005_Search_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_005_Search_Functionality","TC_SF_001_validate_existing_product"
"","260","TC_SF_002_validate_nonexisting_product","Master Suite","Wed Sep 03 20:06:57 IST 2025","passed","Wed Sep 03 20:06:58 IST 2025","testCases.TS_005_Search_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_005_Search_Functionality","TC_SF_002_validate_nonexisting_product"
"","3097","TC_LF_013_verify_password_visibility","Master Suite","Wed Sep 03 20:06:33 IST 2025","broken","Wed Sep 03 20:06:36 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","TC_LF_013_verify_password_visibility"
"","555","TC_SF_007_validate_search_criteria","Master Suite","Wed Sep 03 20:14:53 IST 2025","passed","Wed Sep 03 20:14:53 IST 2025","testCases.TS_005_Search_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_005_Search_Functionality","TC_SF_007_validate_search_criteria"
"","495","TC_SF_004_validate_existing_product_after_login","Master Suite","Wed Sep 03 20:06:58 IST 2025","passed","Wed Sep 03 20:06:59 IST 2025","testCases.TS_005_Search_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_005_Search_Functionality","TC_SF_004_validate_existing_product_after_login"
"","989","TC_LF_002_verify_invalid_login","Master Suite","Wed Sep 03 20:14:19 IST 2025","passed","Wed Sep 03 20:14:20 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","TC_LF_002_verify_invalid_login"
"","14289","TC_HyperLinkCheck","Master Suite","Wed Sep 03 20:06:36 IST 2025","passed","Wed Sep 03 20:06:51 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","TC_HyperLinkCheck"
"","826","TC_LF_002_verify_invalid_login","Master Suite","Wed Sep 03 20:06:25 IST 2025","passed","Wed Sep 03 20:06:26 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","TC_LF_002_verify_invalid_login"
"","815","TC_SF_009_validate_search_by_category","Master Suite","Wed Sep 03 20:14:54 IST 2025","passed","Wed Sep 03 20:14:55 IST 2025","testCases.TS_005_Search_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_005_Search_Functionality","TC_SF_009_validate_search_by_category"
